kind,start_km,end_km,length_m,avg_gradient_pct,max_abs_gradient_pct,elevation_change_m
climb,1.795,2.819,1023.9,0.91,1.21,9.4
descent,4.785,6.135,1349.8,-1.17,1.4,-15.6
descent,7.036,8.637,1600.9,-0.91,1.2,-15.5
descent,9.64,12.725,3085.1,-1.28,2.12,-44.8
climb,12.788,15.912,3124.1,2.19,3.46,59.6
descent,16.478,17.437,959.4,-1.13,1.5,-10.3
climb,17.61,18.919,1309.3,1.4,2.19,19.8
descent,20.939,22.412,1472.6,-0.63,0.73,-9.0
descent,23.093,24.23,1136.9,-1.04,1.44,-12.9
climb,24.829,25.425,596.7,0.84,1.05,5.6
descent,26.024,27.512,1488.0,-0.66,0.8,-9.8
climb,30.699,31.214,515.5,0.76,0.89,5.0
climb,33.823,35.376,1552.9,1.16,1.8,24.8
descent,35.64,36.395,755.4,-0.92,1.23,-8.4
climb,38.045,39.286,1241.6,1.31,1.88,19.2
climb,41.389,42.593,1204.3,1.52,2.35,20.4
descent,42.869,43.855,986.0,-1.44,2.3,-16.2
climb,45.244,47.688,2444.1,1.22,1.61,31.0
descent,48.222,48.805,582.6,-0.7,0.93,-5.6
climb,49.167,56.966,7798.3,1.69,3.14,120.9
descent,57.206,58.035,829.7,-1.6,3.42,-22.1
climb,58.12,59.169,1048.6,2.65,4.86,43.5
climb,59.985,61.863,1878.2,2.61,3.39,47.2
descent,62.247,68.633,6385.3,-2.53,4.99,-120.8
descent,69.312,71.96,2647.6,-1.0,1.66,-33.0
climb,74.635,81.126,6491.3,2.02,3.89,141.3
descent,82.877,83.573,696.5,-0.6,0.67,-4.4
descent,84.995,87.595,2599.5,-1.41,2.35,-39.0
climb,87.753,88.687,934.0,2.8,4.4,28.9
descent,88.851,92.242,3391.4,-2.35,4.01,-78.5
descent,93.852,98.424,4572.2,-1.09,2.48,-58.9
climb,99.682,101.195,1513.1,0.86,1.19,13.6
descent,101.914,102.702,788.3,-1.2,1.51,-11.0
descent,104.308,105.166,858.1,-1.17,1.59,-10.5
descent,106.125,108.435,2310.7,-1.99,2.74,-48.5
descent,109.015,111.352,2336.4,-1.99,3.47,-54.6
climb,111.387,112.445,1057.8,2.15,3.47,27.2
descent,112.9,114.175,1275.5,-3.74,8.38,-66.0
climb,114.225,114.742,517.1,1.93,2.59,12.9
descent,114.889,116.352,1462.8,-2.16,3.5,-34.4
descent,117.57,118.229,659.3,-2.12,3.54,-22.7
descent,119.668,121.598,1930.1,-2.18,4.17,-42.2
climb,121.882,123.64,1758.0,2.47,4.31,32.4
climb,125.589,127.817,2228.5,3.86,6.37,80.0
descent,128.09,129.355,1264.7,-2.29,2.87,-31.5
climb,129.434,130.824,1390.0,1.67,3.24,22.9
climb,132.04,133.545,1505.1,1.45,2.51,30.4
descent,133.807,134.546,739.2,-2.16,4.09,-24.5
descent,135.165,140.609,5443.6,-2.13,5.3,-114.3
descent,141.281,146.994,5712.7,-1.83,3.36,-111.1
descent,147.485,148.441,956.5,-1.71,2.75,-19.4
descent,149.524,150.426,901.7,-1.07,1.58,-14.7
climb,150.729,151.71,981.3,0.96,1.27,10.5
descent,152.228,154.307,2078.4,-1.18,1.54,-24.8
descent,155.291,156.363,1072.3,-0.7,1.37,-9.9
climb,156.495,157.155,659.4,3.15,4.51,25.4
descent,157.198,158.038,839.4,-2.4,3.37,-20.4
climb,158.612,159.136,524.6,1.57,2.36,11.6
descent,159.194,160.062,867.9,-2.96,4.86,-28.9
descent,160.951,161.494,543.4,-1.08,1.75,-4.2
descent,162.328,163.909,1581.1,-0.74,0.97,-12.7
climb,165.074,166.655,1580.4,2.07,3.44,35.6
descent,167.559,169.685,2126.3,-0.98,1.58,-24.3
climb,171.542,172.503,961.1,2.38,3.36,27.2
descent,172.572,173.539,967.6,-2.21,3.34,-27.2
climb,175.386,175.958,572.5,0.87,1.16,9.4
climb,176.25,177.576,1325.8,0.97,1.54,15.6
descent,178.471,180.057,1585.6,-2.08,3.41,-35.2
climb,181.206,182.74,1533.7,0.74,0.98,12.6
descent,185.023,186.571,1548.7,-0.75,0.98,-12.2
climb,187.737,189.313,1576.1,2.07,3.38,35.6
descent,190.221,192.347,2126.3,-0.96,1.59,-23.0
climb,194.229,195.19,961.1,2.37,3.34,27.2
descent,195.258,196.236,978.0,-2.18,3.33,-27.6
climb,199.447,200.794,1347.1,4.0,5.27,54.9
descent,200.85,201.834,984.5,-2.13,3.26,-23.6
descent,203.11,204.014,904.2,-0.67,0.83,-5.2
climb,204.295,208.213,3917.5,2.6,4.55,108.7
descent,208.369,210.906,2537.4,-1.9,3.11,-57.7
climb,211.651,213.591,1940.0,4.41,7.98,71.2
descent,213.687,215.007,1320.1,-4.23,7.74,-62.9
descent,215.481,225.261,9780.1,-2.03,4.42,-156.1
climb,225.917,227.145,1227.7,1.72,2.35,29.7
descent,227.393,228.449,1055.8,-1.41,2.54,-23.1
climb,228.61,230.138,1527.5,0.96,1.72,16.8
climb,231.759,232.755,995.7,2.51,3.85,31.1
climb,233.449,236.586,3136.7,2.76,5.25,98.6
climb,237.277,241.313,4035.7,3.03,4.73,109.6
descent,242.045,245.235,3189.8,-1.0,2.85,-40.1
climb,245.541,246.564,1023.5,1.17,2.46,22.5
descent,246.645,248.89,2245.7,-1.89,3.39,-46.9
climb,249.04,251.014,1973.6,2.74,3.46,57.5
descent,251.201,253.725,2523.8,-2.2,3.33,-62.6
descent,254.696,256.245,1548.9,-1.72,2.25,-27.7
climb,257.154,257.764,609.9,0.98,1.27,5.4
descent,258.066,259.563,1497.0,-2.34,3.26,-43.6
climb,259.754,260.886,1132.3,2.42,3.59,29.7
