distance_m,longitude,latitude,altitude_m,gradient_deg
0.0,27.827607,-26.811498,1485.0,0.34
50.0,27.827316,-26.811797,1485.0,0.34
100.0,27.826816,-26.811824,1485.0,0.34
150.0,27.82637,-26.811851,1485.0,0.34
200.0,27.826693,-26.811999,1485.0,0.33
250.0,27.827176,-26.811881,1485.0,0.32
300.0,27.827649,-26.811733,1485.0,0.31
350.0,27.828111,-26.811554,1485.6,0.3
400.0,27.828161,-26.811231,1486.2,0.29
450.0,27.827957,-26.81082,1487.0,0.28
500.0,27.827753,-26.810409,1487.8,0.26
550.0,27.827776,-26.809968,1488.6,0.25
600.0,27.827952,-26.809547,1488.8,0.23
650.0,27.828138,-26.809129,1489.5,0.21
700.0,27.82832,-26.80871,1490.5,0.19
750.0,27.828492,-26.808287,1491.5,0.17
800.0,27.828664,-26.807865,1492.5,0.14
850.0,27.828852,-26.807447,1493.5,0.12
900.0,27.829049,-26.807034,1494.0,0.09
950.0,27.829228,-26.806613,1494.2,0.07
1000.0,27.829406,-26.806193,1494.4,0.04
1050.0,27.829574,-26.805768,1494.6,0.01
1100.0,27.829734,-26.805342,1494.8,-0.01
1150.0,27.829789,-26.804897,1494.8,-0.04
1200.0,27.829715,-26.804454,1494.6,-0.07
1250.0,27.829784,-26.804014,1494.4,-0.1
1300.0,27.830088,-26.803667,1494.0,-0.13
1350.0,27.830479,-26.803388,1493.4,-0.16
1400.0,27.830745,-26.80301,1493.0,-0.18
1450.0,27.830893,-26.802584,1492.6,-0.21
1500.0,27.831012,-26.802148,1492.0,-0.24
1550.0,27.831161,-26.801718,1491.4,-0.26
1600.0,27.831311,-26.801289,1491.0,-0.29
1650.0,27.831457,-26.800859,1490.2,-0.31
1700.0,27.831589,-26.800425,1489.4,-0.33
1750.0,27.831635,-26.799978,1488.8,-0.35
1800.0,27.831564,-26.799534,1488.4,-0.37
1850.0,27.831444,-26.799097,1487.8,-0.39
1900.0,27.831272,-26.798675,1487.6,-0.4
1950.0,27.831062,-26.798266,1487.2,-0.42
2000.0,27.830837,-26.797864,1486.8,-0.43
2050.0,27.830611,-26.797462,1486.0,-0.44
2100.0,27.830386,-26.797059,1485.4,-0.45
2150.0,27.830167,-26.796655,1484.8,-0.46
2200.0,27.829953,-26.796248,1484.4,-0.46
2250.0,27.829735,-26.795842,1484.0,-0.47
2300.0,27.829498,-26.795445,1483.4,-0.47
2350.0,27.829261,-26.795049,1482.6,-0.47
2400.0,27.829024,-26.794652,1481.8,-0.47
2450.0,27.828788,-26.794254,1481.0,-0.47
2500.0,27.828552,-26.793857,1480.2,-0.47
2550.0,27.828316,-26.79346,1480.0,-0.47
2600.0,27.828079,-26.793063,1480.0,-0.47
2650.0,27.827842,-26.792666,1479.6,-0.46
2700.0,27.827603,-26.79227,1479.2,-0.46
2750.0,27.827364,-26.791875,1478.8,-0.45
2800.0,27.827124,-26.791479,1478.0,-0.45
2850.0,27.826884,-26.791084,1477.2,-0.44
2900.0,27.826645,-26.790688,1476.8,-0.44
2950.0,27.826405,-26.790293,1476.4,-0.43
3000.0,27.826166,-26.789897,1475.8,-0.42
3050.0,27.825926,-26.789502,1475.6,-0.42
3100.0,27.825687,-26.789106,1475.4,-0.41
3150.0,27.825447,-26.78871,1475.2,-0.41
3200.0,27.82521,-26.788314,1475.0,-0.4
3250.0,27.824974,-26.787916,1475.0,-0.4
3300.0,27.824739,-26.787519,1475.0,-0.39
3350.0,27.824523,-26.787113,1475.0,-0.39
3400.0,27.82436,-26.786688,1475.0,-0.38
3450.0,27.824233,-26.786253,1475.0,-0.38
3500.0,27.82414,-26.785811,1474.8,-0.38
3550.0,27.824057,-26.785367,1474.6,-0.38
3600.0,27.823997,-26.784921,1474.0,-0.37
3650.0,27.823978,-26.784472,1473.4,-0.37
3700.0,27.824006,-26.784023,1472.8,-0.37
3750.0,27.824028,-26.783574,1472.4,-0.37
3800.0,27.824052,-26.783125,1471.8,-0.37
3850.0,27.824083,-26.782676,1471.6,-0.37
3900.0,27.824114,-26.782227,1471.4,-0.38
3950.0,27.824145,-26.781779,1471.2,-0.38
4000.0,27.824177,-26.78133,1471.0,-0.38
4050.0,27.824208,-26.780881,1471.0,-0.39
4100.0,27.824239,-26.780432,1470.8,-0.39
4150.0,27.824269,-26.779983,1470.6,-0.4
4200.0,27.8243,-26.779535,1470.4,-0.4
4250.0,27.824331,-26.779086,1470.0,-0.41
4300.0,27.824363,-26.778637,1469.6,-0.41
4350.0,27.824399,-26.778189,1469.2,-0.42
4400.0,27.824434,-26.77774,1468.8,-0.43
4450.0,27.824468,-26.777291,1468.2,-0.44
4500.0,27.824486,-26.776842,1467.8,-0.44
4550.0,27.824522,-26.776394,1467.4,-0.45
4600.0,27.824558,-26.775945,1467.2,-0.46
4650.0,27.824594,-26.775497,1467.0,-0.47
4700.0,27.824623,-26.775048,1467.0,-0.48
4750.0,27.824651,-26.774599,1467.0,-0.49
4800.0,27.824678,-26.77415,1467.0,-0.49
4850.0,27.824706,-26.773701,1467.0,-0.5
4900.0,27.824735,-26.773252,1466.4,-0.51
4950.0,27.824763,-26.772803,1465.8,-0.52
5000.0,27.824793,-26.772354,1465.2,-0.53
5050.0,27.824827,-26.771905,1464.6,-0.54
5100.0,27.824861,-26.771457,1463.6,-0.55
5150.0,27.824895,-26.771008,1463.0,-0.55
5200.0,27.824929,-26.770559,1462.4,-0.56
5250.0,27.824962,-26.770111,1461.8,-0.57
5300.0,27.824995,-26.769662,1461.0,-0.58
5350.0,27.825028,-26.769213,1460.2,-0.58
5400.0,27.825061,-26.768765,1459.6,-0.59
5450.0,27.825094,-26.768316,1458.8,-0.6
5500.0,27.825123,-26.767867,1458.0,-0.61
5550.0,27.825128,-26.767417,1457.2,-0.61
5600.0,27.825123,-26.766968,1456.8,-0.62
5650.0,27.825113,-26.766518,1455.8,-0.63
5700.0,27.825089,-26.766069,1455.0,-0.63
5750.0,27.82505,-26.765621,1454.2,-0.64
5800.0,27.825009,-26.765173,1453.6,-0.64
5850.0,27.824973,-26.764724,1453.0,-0.65
5900.0,27.824946,-26.764275,1453.0,-0.65
5950.0,27.82492,-26.763826,1453.0,-0.66
6000.0,27.824893,-26.763377,1453.0,-0.66
6050.0,27.824867,-26.762928,1453.0,-0.66
6100.0,27.824834,-26.762479,1453.0,-0.67
6150.0,27.824797,-26.762031,1453.0,-0.67
6200.0,27.824768,-26.761582,1452.8,-0.66
6250.0,27.824756,-26.761133,1452.6,-0.66
6300.0,27.824745,-26.760683,1452.0,-0.66
6350.0,27.824742,-26.760234,1451.4,-0.65
6400.0,27.824755,-26.759784,1450.6,-0.64
6450.0,27.824775,-26.759335,1450.0,-0.63
6500.0,27.824799,-26.758886,1449.4,-0.62
6550.0,27.824838,-26.758437,1449.2,-0.6
6600.0,27.824888,-26.75799,1448.4,-0.58
6650.0,27.824948,-26.757544,1447.2,-0.56
6700.0,27.825015,-26.757098,1446.0,-0.53
6750.0,27.825083,-26.756652,1444.2,-0.5
6800.0,27.825152,-26.756207,1442.4,-0.47
6850.0,27.825221,-26.755761,1441.0,-0.43
6900.0,27.825293,-26.755316,1440.2,-0.39
6950.0,27.825369,-26.754872,1438.6,-0.34
7000.0,27.825445,-26.754427,1437.6,-0.29
7050.0,27.825522,-26.753983,1436.0,-0.24
7100.0,27.825599,-26.753539,1434.6,-0.19
7150.0,27.825677,-26.753094,1432.6,-0.13
7200.0,27.825754,-26.75265,1431.2,-0.07
7250.0,27.825832,-26.752206,1429.8,-0.01
7300.0,27.825909,-26.751761,1429.0,0.06
7350.0,27.825986,-26.751317,1428.2,0.12
7400.0,27.826054,-26.750872,1428.6,0.19
7450.0,27.82612,-26.750426,1429.2,0.26
7500.0,27.826186,-26.74998,1430.3,0.32
7550.0,27.826252,-26.749534,1431.9,0.39
7600.0,27.826304,-26.749087,1433.5,0.46
7650.0,27.826365,-26.748641,1434.5,0.53
7700.0,27.826417,-26.748194,1435.9,0.59
7750.0,27.826426,-26.747744,1436.8,0.65
7800.0,27.826397,-26.747296,1437.2,0.71
7850.0,27.82633,-26.74685,1437.6,0.77
7900.0,27.826207,-26.746414,1438.4,0.83
7950.0,27.826058,-26.745985,1439.0,0.88
8000.0,27.825869,-26.745569,1440.4,0.92
8050.0,27.825672,-26.745154,1441.8,0.97
8100.0,27.825491,-26.744735,1443.6,1.0
8150.0,27.825297,-26.74432,1445.2,1.04
8200.0,27.825101,-26.743906,1447.1,1.07
8250.0,27.824905,-26.743491,1448.7,1.09
8300.0,27.82471,-26.743077,1450.7,1.12
8350.0,27.824516,-26.742662,1453.1,1.13
8400.0,27.82432,-26.742248,1455.7,1.14
8450.0,27.824124,-26.741834,1457.8,1.15
8500.0,27.823928,-26.741419,1459.6,1.15
8550.0,27.823732,-26.741005,1461.0,1.15
8600.0,27.823549,-26.740586,1462.2,1.15
8650.0,27.823369,-26.740167,1463.6,1.14
8700.0,27.823195,-26.739744,1465.4,1.13
8750.0,27.823045,-26.739315,1467.0,1.11
8800.0,27.82291,-26.738882,1468.8,1.09
8850.0,27.822797,-26.738444,1470.0,1.07
8900.0,27.822691,-26.738005,1470.8,1.05
8950.0,27.822607,-26.737561,1471.2,1.03
9000.0,27.822522,-26.737118,1472.0,1.0
9050.0,27.822433,-26.736675,1472.8,0.97
9100.0,27.822343,-26.736233,1473.6,0.95
9150.0,27.82225,-26.735791,1474.2,0.92
9200.0,27.822156,-26.735349,1474.8,0.89
9250.0,27.822064,-26.734907,1475.4,0.86
9300.0,27.821973,-26.734465,1475.8,0.83
9350.0,27.821882,-26.734023,1476.2,0.8
9400.0,27.821789,-26.733581,1476.6,0.77
